source_id,Xi,Xn,PMra,PMdec,BP0-RP0,G0_c,pmra_error,pmdec_error,bp_rp_error,pmra_pmdec_corr,phot_g_mean_mag_err,phot_bp_mean_mag_err,phot_rp_mean_mag_err,posterior_prob,last_memb_posterior_prob
1425003181682732288,0.530542488222976,0.4078464622246095,-0.3571983300798506,0.0509450018968198,-0.2551099336276867,1.15770251442177,0.1610314517182152,0.1725131182950266,0.1501504030353223,0.2465292066335678,0.1408279488856973,0.08961922,0.107069306,1.0,0.061479773
1425004766526882816,0.5338681640905929,0.410105118864323,1.835880576899835,-0.7035553374075402,0.2264945083083075,0.9745972202570592,0.1804416391752243,0.2134093703860795,0.1773210797675595,0.2661407589912414,0.1400391931185337,0.119614445,0.057081,1.0,0.00089786417
1425006102260528640,0.5356196766820555,0.4141858490286493,-0.9384686182796173,-1.387811393134299,-0.5646576314739244,-0.208763110243006,0.0756370986218322,0.086674466390934,0.1288014703271944,0.2871583700180053,0.0461927617817551,0.049999185,0.04656276,1.0,0.0019766106
1425007820247430656,0.524121583805272,0.4121584799501129,-0.1538731497808176,-0.7755258421096386,-0.5188545609623733,1.7164921668212638,0.5794392458248485,0.4857009435932221,0.1945850748504716,-0.077141098678112,0.3738314712463316,0.19310617,0.23130962,1.0,0.19714265
1425010637746302336,0.5356604434192024,0.4222208207459961,-0.3195911275787166,0.897289251810071,0.3582125380483811,2.507333944616104,0.2478537095519102,0.5178296687949838,0.1923683293430461,0.3280489146709442,0.3504133057003092,0.16792183,0.12684312,0.0,0.5253561
1425011428020010496,0.5403619944246151,0.4176942158334549,-0.1904439435992697,-1.1891523680854572,-0.3642100652203685,0.4248111600412642,0.1341059100064809,0.1720597806063444,0.1665664518087181,0.3371861279010772,0.1180428401276468,0.14299385,0.060574148,1.0,0.008611445
1425013558323862656,0.5468537642896513,0.4234792961162855,0.5610454573619054,-0.3116296981941715,0.1958713187506841,-0.6095526433843109,0.0712244813942159,0.0829801431891686,0.1415612192261415,0.2774665653705597,0.0455460346558814,0.057081535,0.03799375,1.0,0.00013644871
1425016032225200256,0.5416260940927626,0.4242636473419205,0.1477694274481489,-0.3227009265993665,-0.7633898446727558,1.3649639371981062,0.2490842392630883,0.3084722285336504,0.1629183295004342,0.2681764364242553,0.2142387836724309,0.1536531,0.1373027,1.0,0.14581321
1425017922010694144,0.5438854767827045,0.4280970945295577,-1.7435465530024237,-0.4162613643143975,0.9241793189572156,0.4201966477271704,0.1782502654602933,0.2107106484914413,0.2032557495494708,0.3270655572414398,0.1804325575787285,0.11924532,0.085684046,1.0,0.0050489926
1425021602798713600,0.5255883011409537,0.4214877254633294,-1.855738238825813,0.443958964882378,0.0959325263450399,-0.4968630039030753,0.0383815365486457,0.0428013413066823,0.1171130372214003,0.3217762112617492,0.0147213709537027,0.024992373,0.021016859,1.0,0.0001145976
