source_id,Xi,Xn,PMra,PMdec,BP0-RP0,G0_c,pmra_error,pmdec_error,bp_rp_error,pmra_pmdec_corr,phot_g_mean_mag_err,phot_bp_mean_mag_err,posterior_prob,last_memb_posterior_prob
1430437041162706816,0.5909428514797151,0.6974266483975792,-1.0771693925020138,0.5739150653891314,-0.5857284124695915,-1.1520518784419989,0.0679901385679835,0.0753415348305387,0.094665010896968,0.2276940941810608,0.0304172892562565,0.042614464,1.0,0.067127556
1427199804052692736,0.6935288881683193,0.6058285695963332,0.3870852582239172,1.1246174291810584,-0.3784562200303049,0.6545249685172371,0.1416543351961614,0.1388697137717857,0.1105277360261326,0.2391299456357956,0.0737193022273128,0.07953409,0.9,0.32801127
1430438759149698048,0.5655440303382391,0.6820670110517196,-0.3668553640950033,0.1898057742973969,1.0492990229634518,-0.8259030855518706,0.0778899269875462,0.0779303132423994,0.1154710031773009,0.024177361279726,0.0435370794643023,0.055672534,1.0,0.00049462117
1430440855093746688,0.5721488145749061,0.6864238015168534,-1.2543067890046429,0.1721395989135367,0.1885375788159352,-0.1471224142037695,0.1228788708396634,0.1149406383779253,0.1103413667781427,0.1015290990471839,0.0820440022362529,0.080836505,1.0,0.010793335
1427204786215228160,0.6733457328215107,0.5990228431429332,-0.9101610397628354,-0.9838648915617796,0.1841516632859978,-1.4365875211486052,0.125093007199208,0.11531341773894,0.1303782246285741,0.2890457510948181,0.0686866696127165,0.07438344,1.0,0.23165554
1423991802783905408,0.4807289857887751,0.2968385136588206,-1.0288627038875378,1.3596637537319254,0.4338761129241115,-0.8494739313313198,0.068046151734492,0.083450449013149,0.1011337870847321,0.3303650915622711,0.0349653635931187,0.047628514,1.0,0.001286564
1427204923654180992,0.6718141981048278,0.5986717964263324,0.5046442181744178,0.2770556636990688,0.964186132497744,-0.0002378658754796,0.1201429895234055,0.0925596320839269,0.12112748625241,0.2643869817256927,0.0551942246946195,0.065343246,1.0,7.8651996e-05
1423993108453997824,0.4896579275307631,0.3018052554147729,-0.3857300852456741,0.1659194789276092,-0.4392788816230814,-0.4360162329506503,0.0757765927772842,0.0769752688246574,0.0965367476892946,0.1707818359136581,0.0446155424874304,0.0419326,1.0,0.0030031519
1427207187100560384,0.6643023555668361,0.5985712499624807,-0.3075005237966322,0.2477061714004602,-1.1932167892267702,-0.3604447403435725,0.1240390563465407,0.1280865175430554,0.0970526969026339,0.0192722827196121,0.073636744426563,0.05423507,1.0,0.0020037764
1430445008326430336,0.5707230128723451,0.6911436452206728,-1.2198981402208642,1.5513380745433103,-1.7241986706306016,0.5981684281387357,0.3294291553538224,0.2613653343212061,0.099762362977866,0.2128364294767379,0.2051326176608378,0.1199047,1.0,0.022039909
